POLICY NAME                                                                                                                                  , Y/N/M                                         , POLICY DETAILS
Beacon >680 Max GDS/TDS                                                                                                                      , M                                             , Ratios are not to exceed 39% and 44% respectively (regardless of high ratio insurer guidelines)
Consumer Proposals                                                                                                                           , Y                                             , Bankruptcy/Consumer Proposal must be discharged for 2 years*; Applicant’s credit bureau reports must be satisfactory – no derogatory ratings on trade lines established after discharge; All applicants must have a two-year re-established credit history with a minimum of two major trade lines
Credit Scores Based on Applicant Details                                                                                                     , N                                             , 
Double Bankruptcy                                                                                                                            , N                                             , 
GDS/TDS Exceptions                                                                                                                           , N                                             , 
GDS/TDS for 2nd Mortgage                                                                                                                     , N                                             , 
GDS/TDS for LOC                                                                                                                              , N                                             , 
Minimum Beacon Requirements                                                                                                                  , N                                             , 
Equifax Bureaus                                                                                                                              , N                                             , 
Transunion Bureaus                                                                                                                           , N                                             , 
QUALIFYING & FEES                                                                                                                            ,                                               , 
Insurable/Insured Deals Only                                                                                                                 , N                                             , 
Insurers (Canada Guarantee)                                                                                                                  , N                                             , 
Insurers (CMHC)                                                                                                                              , N                                             , 
Insurers (Sagen)                                                                                                                             , N                                             , 
Lending Fee                                                                                                                                  , N                                             , 
Maintenance Fee                                                                                                                              , N                                             , 
Qualify at Contract Rate                                                                                                                     , N                                             , 
Qualifying Rate for Conventional Deals                                                                                                       , M                                             , Insurable Mortgages must qualify at the greater of 5.25% Benchmark or Contract Rate plus 2%                                                                                                                                                                                                                                                                                                                                                                                                                                        , over 25 years
Renewal Fees and Details                                                                                                                     , N                                             , 
DOWN PAYMENT                                                                                                                                 ,                                               , 
Gifted Down Payment Aunt/Uncle                                                                                                               , N                                             , 
Gifted From Immediately Family Member                                                                                                        , N                                             , 
Gifted From Immediately Family Member (Rental)                                                                                               , N                                             , 
Gifted Money From Non-Family                                                                                                                 , N                                             , 
Government Grants                                                                                                                            , N                                             , 
How Much of the Down Payment Can Be Gifted? (100% or % From Own Funds)                                                                       , N                                             , 
Rent to Own Agreements                                                                                                                       , N                                             , 
RRSP Withdrawals                                                                                                                             , N                                             , 
Vendor Take Back Mortgages                                                                                                                   , N                                             , 
BUSINESS FOR SELF INCOME                                                                                                                     ,                                               , 
Add Backs (CCA and Business Use of Home)                                                                                                     , N                                             , 
Business for Self (Self-Employed) Confirmed                                                                                                  , N                                             , 
Line 150 2 Year Average for BFS                                                                                                              , N                                             , 
Line 150 Gross-up Income BFS                                                                                                                 , N                                             , 
Minimum Time in Business (BFS)                                                                                                               , N                                             , 
Self Declared Income                                                                                                                         , N                                             , 
Vehicle Allowance                                                                                                                            , N                                             , 
INCOME                                                                                                                                       ,                                               , 
Add Percent of Rents to Gross Income                                                                                                         , N                                             , 
Alimony/Child Support (Income)                                                                                                               , N                                             , 
Assets as income                                                                                                                             , N                                             , 
Assured Income for the Severely Handicapped (AISH)                                                                                           , N                                             , 
Bonus / Overtime                                                                                                                             , N                                             , 
Canada Child Benefit (CCB)                                                                                                                   , N                                             , 
CCB Age Requirements                                                                                                                         , N                                             , 
CCB How Much Can We Use? (% of Total Income)                                                                                                 , N                                             , 
Co-signer Has to be Related                                                                                                                  , N                                             , 
Co-signer Required to be on Title                                                                                                            , N                                             , 
Co-signer to Live in the Property                                                                                                            , N                                             , 
Co-signers Allowed                                                                                                                           , M                                             , A current credit bureau (less than 30 days old) is required for all borrowers                                                                                                                                                                                                                                                                                                                                                                                                                                                      , co-borrowers and guarantors.
Commissioned Income                                                                                                                          , N                                             , 
Contract Income                                                                                                                              , N                                             , 
Contributory Income                                                                                                                          , N                                             , 
Do You Accept People on Probation                                                                                                            , N                                             , 
Employment Insurance                                                                                                                         , N                                             , 
Foster Care / Care Aide income                                                                                                               , N                                             , 
Guarantor Has to be Related                                                                                                                  , N                                             , 
Guarantors Allowed                                                                                                                           , M                                             , A current credit bureau (less than 30 days old) is required for all borrowers                                                                                                                                                                                                                                                                                                                                                                                                                                                      , co-borrowers and guarantors.
Guarantors Required to be on Title                                                                                                           , N                                             , 
Guarantors to Live in the Property                                                                                                           , N                                             , 
Hourly                                                                                                                                       , N                                             , 
Investment Income / RRIF                                                                                                                     , N                                             , 
Long Term Disability                                                                                                                         , N                                             , 
Maximum Number of Applicants                                                                                                                 , N                                             , 
Non-Taxable/Tips                                                                                                                             , N                                             , 
OAS - CPP - RPP (Pension Income)                                                                                                             , N                                             , 
On-Indian Reserve (Income)                                                                                                                   , N                                             , 
Ontario Disability Support Program Income                                                                                                    , N                                             , 
Parental/Maternity Leave                                                                                                                     , N                                             , 
Reduce Rental Expenses and Add to Gross Income                                                                                               , N                                             , 
Rental (Income): Non-Subject Property                                                                                                        , N                                             , 
Rental (Income): Owner-Occupied + Separate Unit                                                                                              , Y                                             , If the laneway home is rented                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , owner occupied rental income policy will apply
Rental (Income): Subject Property                                                                                                            , N                                             , 
Rental (Income): Worksheet                                                                                                                   , N                                             , 
Rental Income at Market Rents                                                                                                                , N                                             , 
Rental Pools                                                                                                                                 , Y                                             , Rental pools and resort properties.
Rental Surplus/Shortfall Calculation                                                                                                         , N                                             , 
Short Term Disability                                                                                                                        , N                                             , 
Taxable Other                                                                                                                                , N                                             , 
Trust (Income)                                                                                                                               , N                                             , 
WSIB (Income)                                                                                                                                , N                                             , 
EXPENSE PAYMENT CALCULATIONS                                                                                                                 ,                                               , 
Alimony (Expense)                                                                                                                            , N                                             , 
Calculate Debt Payments as Stated on Credit Bureau                                                                                           , Y                                             , For unsecured Lines of Credit and Credit Cards                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , the payment used for debt servicing will be the greater of 3% of the outstanding balance or the payment reported on the credit bureau.
Calculate Debt Payments at BoC Rate Over 25 Years                                                                                            , N                                             , 
Calculate Debt Payments at the Total Limit                                                                                                   , Y                                             , For Secured Lines of Credit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate
Calculate Debt Payments on Unsecured Loans                                                                                                   , N                                             , 
Child Support (Expense) deducted from Income                                                                                                 , N                                             , 
Closing Costs Calculation                                                                                                                    , N                                             , 
Condo Fee Calculation                                                                                                                        , N                                             , 
Heat Calculation                                                                                                                             , N                                             , 
OSAP (3% or Payment on Credit Bureau)                                                                                                        , M                                             , Student Lines of Credit – Greater of 3% of the outstanding balance or the payment reported on the credit bureau
Student Loans on repayment – monthly contract payment as disclosed on the credit bureau
Government Student Loans not on repayment – future monthly contract payment as per the Government Loan Repayment Estimator
Property Tax Calculation                                                                                                                     , N                                             , 
Secured Revolving Debt Payments (HELOC)                                                                                                      , Y                                             , For Secured Lines of Credit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate
Shelter Costs                                                                                                                                , N                                             , 
Student Loans (Expense)                                                                                                                      , Y                                             , Student Loans on repayment – monthly contract payment as disclosed on the credit bureau
Student LOC (3% or Payment on Credit Bureau)                                                                                                 , Y                                             , Student Lines of Credit – Greater of 3% of the outstanding balance or the payment reported on the credit bureau
MORTGAGE INFORMATION                                                                                                                         ,                                               , 
2nd Mortgage Allowed Behind You                                                                                                              , Y                                             , Uninsurable purchases and refinances offer a 30 year amortization                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years.
2nd Mortgages (Lender Arranged)                                                                                                              , N                                             , 
2nd Position HELOCs                                                                                                                          , N                                             , 
3rd Mortgage Allowed Behind You                                                                                                              , N                                             , 
Assignments                                                                                                                                  , Y                                             , Meridian does not lend on purchases where the property being purchased is via an Assignment of Offer to Purchase.
Assumable                                                                                                                                    , Y                                             , Meridian’s mortgages are assumable with qualification
Blend and Extend                                                                                                                             , Y                                             , Refinance with Meridian Credit Union by a blend and extend (blending of decrement)
Bridge Financing                                                                                                                             , Y                                             , Available and offered through Broker Channel
If known at the time of submission                                                                                                           , kindly note “bridge financing is required”
Meridian requires notice of bridge financing requirement a minimum of 15 business days prior to the new Purchase close date
Rate starts @ Meridian Prime + 2%
Application fee of $250
Maximum 90 days bridge financing offered.
Change Payment Arrangement                                                                                                                   , N                                             , 
Credit Lines/HELOCs                                                                                                                          , Y                                             , Flex Line Mortgage - Owner Occupied
Up to 80% Conventional total borrowing
Up to 70% maximum HELOC borrowing limit
Free Home Warranty                                                                                                                           , N                                             , 
Holding Companies                                                                                                                            , Y                                             , Commercial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Mixed Use Properties or Properties in a Business or Holding Co name - We do not process Commercial or Small Business applications through the Broker Channel.
Compounded Period for Variable                                                                                                               , N                                             , 
Insured Switch/Transfer                                                                                                                      , Y                                             , Meridian will accept transfer of First Position Standard Charge (non-collateral) mortgages which meet ALL Insurable criteria.
Max Rate Holds (Days)                                                                                                                        , Y                                             , Meridian’s rate commitment period is 120 days for both Purchases (re-sale & new-builds) and Refinances.
Maximum Amortization (25 years)                                                                                                              , Y                                             , Insurable Mortgages must qualify at the greater of 5.25% Benchmark or Contract Rate plus 2%                                                                                                                                                                                                                                                                                                                                                                                                                                        , over 25 years
Maximum Amortization (30 years)                                                                                                              , Y                                             , Uninsurable purchases and refinances offer a 30 year amortization                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , with the exception of 2nd position mortgages behind an existing Meridian 1st mortgage which have a maximum amortization of 25 years.
Maximum Amortization (35 years)                                                                                                              , N                                             , 
Maximum Amortization (40 years)                                                                                                              , N                                             , 
Maximum Equity Take-Out ($)                                                                                                                  , N                                             , 
Maximum Loan to Value 1st Mortgage                                                                                                           , Y                                             , Mortgage - Owner Occupied
Up to 95% high ratio (purchases only)
Up to 80% Conventional
Maximum Loan to Value 2nd or 3rd Mortgages                                                                                                   , N                                             , 
Maximum Mortgage Amount                                                                                                                      , Y                                             , Meridian’s overall mortgage limit is capped at $2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 250                                                                                                                                                                       , 000.
Minimum Mortgage Amount                                                                                                                      , N                                             , 
Mininimum Amortization (years)                                                                                                               , N                                             , 
Mortgage Registration Type                                                                                                                   , N                                             , 
Mortgage Reports to Credit Bureau                                                                                                            , N                                             , 
New Home Rate Hold Guarantee                                                                                                                 , N                                             , 
Payment Frequency Options                                                                                                                    , N                                             , 
Penalty Calculations for Breaking Mortgage                                                                                                   , Y                                             , The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity
Portable                                                                                                                                     , Y                                             , Meridian’s mortgages are portable to another residential property in Ontario
Prepayment Options                                                                                                                           , Y                                             , Members are able to take advantage of our 20 / 20 prepayment privilege which allows them to increase the regular payment by up to 20% per year or to make lump sum payments (min $100) on their payment date to a max of 20% per year. The aggregate of the 2 prepayment options cannot exceed 20% per calendar year.
Private Purchases                                                                                                                            , Y                                             , Full appraisal is required for the following:
Private purchases
Rate Buy-Down Information                                                                                                                    , Y                                             , Brokers have the option for rate buy down to a maximum of 15 bps rate reduction on any Term. Each 5bps buy down will cost 20bps reduction in commissions. Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term. Rate buy down request must accompany the application to the underwriting unit. Buy down cost will be deducted from final broker commission fee.
Rate Drop Policy                                                                                                                             , N                                             , 
Skip a Payment                                                                                                                               , N                                             , 
Sliding Scale                                                                                                                                , Y                                             , 80% of the first $2.0MM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , 50% of the remainder
Maximum Mortgage amount of $2.25MM
Maximum LOC amount of $1.25MM
80% of the first $1MM                                                                                                                        , 50% of the remainder
Maximum Mortgage amount of $2MM
Maximum LOC amount of $1MM
Condo mortgages over $1MM on a case-by-case basis
Unsecured Line of Credit                                                                                                                     , N                                             , 
Value Added Products                                                                                                                         , N                                             , 
Variable-Rate to Fixed-Rate Conversion                                                                                                       , N                                             , 
VRM and/or ARMs                                                                                                                              , Y                                             , VRM Mortgages are eligible for payout prior to maturity with a 3 months’ interest prepayment charge.
What Rate Are Penalties Calculated At                                                                                                        , Y                                             , The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity
PROPERTY                                                                                                                                     ,                                               , 
Agricultural/Agricultural Zoning                                                                                                             , Y                                             , For properties situated on acreage (rural residential)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , appraisal report to include a maximum of 10 acres plus dwelling and no out buildings.
Working farms/Hobby Farms do not qualify. Property must be within 50 km’s or urban centre (Pop. 15                                           , 000).
AirBnB/Short Term Rental Properties                                                                                                          , Y                                             , Short-term (vacation) rental properties; AirBnB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , VRBO etc
Commercial                                                                                                                                   , Y                                             , Commercial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Mixed Use Properties or Properties in a Business or Holding Co name - We do not process Commercial or Small Business applications through the Broker Channel.
Compostable Toilets                                                                                                                          , N                                             , 
Farms                                                                                                                                        , Y                                             , Working farms/Hobby Farms do not qualify
Grow Ops                                                                                                                                     , Y                                             , Previous Grow-Ops                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , whether remediated or not.
Heritage Buildings                                                                                                                           , Y                                             , Historically designated properties.
Hobby Farms                                                                                                                                  , Y                                             , Hobby Farms do not qualify
Hotel Condos                                                                                                                                 , Y                                             , Hotel Condos.
Island Properties                                                                                                                            , N                                             , 
Laneway Housing                                                                                                                              , Y                                             , Laneway/Carriage Homes must meet all of the following parameters:
Main home and laneway home to be on same Property Identification Number (PIN)
Conforms to zoning (all applicable permits are in place). Appraiser to comment on conformity to zoning.
Self-contained with a complete functional kitchen and bathroom and year-round heating source.
Minimum 350 square feet and must not be the largest structure on property
Has laneway / driveway access
Unit to be located above or in the space designated for a detached garage. No other outbuildings
Main house must be the applicants’ owner-occupied principal residence
If the laneway home is rented                                                                                                                , owner occupied rental income policy will apply
Home Insurance policy to cover main and laneway home
Leased Land                                                                                                                                  , Y                                             , Leased Land / Life Leased properties.
Lending Areas                                                                                                                                , M                                             , Meridian’s mortgages are portable to another residential property in Ontario
Maximum Acreage                                                                                                                              , Y                                             , For properties situated on acreage (rural residential)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , appraisal report to include a maximum of 10 acres plus dwelling and no out buildings.
Maximum Number of Doors                                                                                                                      , Y                                             , Single Family with conforming rental component                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , Duplex                                                                                                                                                                    , triplex and 4-plex buildings.
Maximum Number of Properties                                                                                                                 , N                                             , 
Minimum Population Requirement                                                                                                               , Y                                             , Property must be within 50 km’s or urban centre (Pop. 15                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , 000).
Minimum Square Footage (Condo)                                                                                                               , Y                                             , Outside of the GTA Condos of less than 550 Sq. Ft. will require high ratio insurance regardless of LTV
Within GTA Condos of less than 550 Sq. Ft. can be entertained without High Ratio insurance as long as the following is met:
Minimum beacon score of 680+
Units must include a private (walled) 3 pc bathroom (min.) and in-unit designated kitchen/kitchenette area (not shared with any other units).
No more than 10 years old
No Condo conversions permitted
Minimum Square Footage (House)                                                                                                               , Y                                             , Non-Condo Properties Smaller than 550 Sq. Ft.
Must have living space                                                                                                                       , kitchen                                       , 3-piece bathroom and separate bedroom with a door
Full appraisal required
High ratio insurance required regardless of LTV
Mixed Use (Commercial/Residential)                                                                                                           , Y                                             , Commercial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Mixed Use Properties or Properties in a Business or Holding Co name - We do not process Commercial or Small Business applications through the Broker Channel.
Mobile Homes/Modular Homes                                                                                                                   , Y                                             , Mobile Homes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , Trailer and Resort-style properties (eg mobile home/adult lifestyle communities).
Non-Legal Rental Unit Allowed                                                                                                                , Y                                             , All buildings with a rental component must meet all applicable municipal Fire Code Regulations and Zoning By-Laws.
Off Grid Properties                                                                                                                          , N                                             , 
Past Foreclosures on Property                                                                                                                , N                                             , 
Power of Sale Listings                                                                                                                       , Y                                             , Properties purchased under power of sale
Provincial Restrictions                                                                                                                      , N                                             , 
Rooming Houses                                                                                                                               , Y                                             , Rooming Houses                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , Student Housing/Rentals.
Rural Properties                                                                                                                             , Y                                             , For properties situated on acreage (rural residential)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , appraisal report to include a maximum of 10 acres plus dwelling and no out buildings.
Property must be within 50 km’s or urban centre (Pop. 15                                                                                     , 000).
Solar Panels                                                                                                                                 , N                                             , 
Student Housing                                                                                                                              , Y                                             , Rooming Houses                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , Student Housing/Rentals.
Tarion Required for New Home Builds                                                                                                          , N                                             , 
Well/Septic                                                                                                                                  , Y                                             , Properties on well water and septic tanks will be considered provided this is normal for the area.
Wind Turbines                                                                                                                                , N                                             , 
Wood Frame Houses                                                                                                                            , N                                             , 
FORMS                                                                                                                                        ,                                               , 
Consent To Release Client Information                                                                                                        , Y                                             , Meridian does not provide Consent Forms for brokers to obtain information on behalf of Members. Meridian requires signed Consent from all applicants prior to underwriting
Digital Signing                                                                                                                              , N                                             , 
DocuSign                                                                                                                                     , N                                             , 
Gift Letter                                                                                                                                  , N                                             , 
Payout Authorization Form                                                                                                                    , N                                             , 
Penalty Calculator                                                                                                                           , N                                             , 
Pre-Authorized Debit Agreement                                                                                                               , N                                             , 
Tax Application Form                                                                                                                         , N                                             , 
NICHES                                                                                                                                       ,                                               , 
