"POLICY NAME"                                                           , "Y/N/M", "POLICY DETAILS"
"Appraisal Details"                                                     , "Y"    , "Most conventional mortgages and lines of credit require a full appraisal, to be ordered through Meridian’s approved vendors (NAS, Solidifi, or RPS) at the broker’s expense. High-value properties may require two appraisals, and Meridian can request additional valuation reviews in unique cases."
"Appraisal Rebates"                                                     , "N"    , "(No mention of appraisal cost rebates in the document.)"
"Approved Appraisers List"                                              , "Y"    , "Full appraisals must be ordered via Meridian’s approved appraisal providers: Nationwide Appraisal Services, Solidifi, or RPS Real Property Solutions."
"Approved Lawyers"                                                      , "N"    , "(Not mentioned in the provided document.)"
"APV or AVM"                                                            , "Y"    , "Meridian may accept an Automated Valuation Model (AVM) in lieu of a full appraisal in certain cases, depending on credit score and LTV. For example, owner-occupied deals with <50% LTV and Beacon ≥ 600 can use an AVM instead of a full appraisal."
"Dual Representation by Lawyer"                                         , "N"    , "(Not mentioned in the provided document.)"
"Legal Rebates"                                                         , "N"    , "(Not mentioned in the provided document.)"
"Lender Collects and Pays Property Taxes"                               , "N"    , "(Not mentioned in the provided document.)"
"Loan on Appraised Value"                                               , "Y"    , "Meridian uses the lesser of the appraised value or the purchase price when determining the loan amount. They will not lend based solely on a higher appraisal value (LTV is always calculated on the lesser of the two)."
"Loan on Purchase Price"                                                , "Y"    , "Meridian lends on the lesser of purchase price or appraised value. This means if the purchase price is lower than appraisal, the loan is based on the purchase price (and if the appraisal is lower, they use that lower value)."
"Max Capitalization & What Lender Pays For (Switch/Transfer)"           , "N"    , "(Not mentioned in the provided document. Meridian’s policy did not detail lender-paid transfer costs or capitalization limits.)"
"Power of Attorney"                                                     , "Y"    , "Not accepted. Meridian will not accept Power of Attorney signatures on mortgage documentation – all applicants must sign directly (POA sign-offs are not allowed)."
"Title Insurance Details"                                               , "Y"    , "Title insurance is mandatory on all mortgages. Meridian accepts policies from First Canadian Title, Stewart Title, or TitlePlus."
"Title Vesting Period"                                                  , "N"    , "(Not mentioned in the provided document.)"
"Will Pay Out: Personal, CRA or HST Tax Arrears"                        , "N"    , "(Not mentioned in the provided document.)"
"Will Pay Out: Property Tax Arrears"                                    , "N"    , "(Not mentioned in the provided document.)"
"Finders Fees"                                                          , "N"    , "(Not mentioned in the provided document. Commission structures are not covered in this policy document.)"
"Renewal Pay"                                                           , "N"    , "(Not mentioned in the provided document.)"
"Trailer Fees"                                                          , "N"    , "(Not mentioned in the provided document.)"
"Volume Bonus"                                                          , "N"    , "(Not mentioned in the provided document.)"
"Age of Credit Bureau (Days)"                                           , "Y"    , "Credit bureau reports must be no more than 30 days old at time of submission for all borrowers, co-borrowers, and guarantors."
"Bankruptcy Purchase"                                                   , "Y"    , "Meridian will consider mortgage applications from clients with a past bankruptcy if the bankruptcy was discharged at least 2 years ago. The applicant must have re-established credit for at least two years (minimum two trade lines in good standing) and have no derogatory credit since discharge. No Meridian debts can have been included in the bankruptcy, and a reasonable explanation is required. The maximum LTV is 90% for such purchases."
"Bankruptcy Refinace (Refinance)"                                       , "M"    , "Not explicitly detailed, but by extension of policy: a formerly bankrupt borrower meeting the above criteria can likely refinance up to the conventional 80% LTV maximum (since high-ratio refinances are not permitted). (All other post-bankruptcy conditions would apply.)"
"Beacon <680 Max GDS/TDS"                                               , "Y"    , "Meridian’s maximum GDS/TDS ratios are 39/44% for all borrowers. They do not lower the allowed ratios for Beacon scores under 680 – 39% GDS and 44% TDS are the limits regardless of credit score (even if insurer guidelines would be tighter for <680)."
"Beacon >680 Max GDS/TDS"                                               , "Y"    , "Having a Beacon ≥ 680 does not allow higher debt ratios with Meridian. The debt service ratios are capped at 39% GDS and 44% TDS for all applications, so even strong credit applicants are held to 39/44%."
"Consumer Proposals"                                                    , "Y"    , "Treated similar to bankruptcy. A Consumer Proposal must be fully paid and discharged for 2 years, with re-established credit afterward and no credit issues post-discharge. (Max 90% LTV for purchases, as with bankruptcy, and no Meridian debt in the proposal.)"
"Credit Scores Based on Applicant Details"                              , "N"    , "(Not mentioned in the provided document.)"
"Double Bankruptcy"                                                     , "N"    , "(Not mentioned in the provided document.)"
"GDS/TDS Exceptions"                                                    , "N"    , "None indicated. Meridian explicitly states debt ratios are not to exceed 39/44% regardless of insurer flexibility (no exceptions mentioned)."
"GDS/TDS for 2nd Mortgage"                                              , "N"    , "(Not mentioned in the provided document.)"
"GDS/TDS for LOC"                                                       , "N"    , "(Not mentioned as separate; Meridian applies standard 39/44% ratios overall, with LOC payments calculated per policy.)"
"Minimum Beacon Requirements"                                           , "M"    , "Meridian’s guidelines imply ~600 as the minimum Beacon score. The lending criteria tables start at 600+ for acceptable deals, and applications with no score (Beacon reject) require special discussion. (No explicit minimum stated, but scores below 600 are outside stated ranges.)"
"Equifax Bureaus"                                                       , "N"    , "(Not specified; presumably Meridian uses Equifax by default, but not stated outright.)"
"Transunion Bureaus"                                                    , "N"    , "(Not specified in the provided document.)"
"Insurable/Insured Deals Only"                                          , "Y"    , "No – Meridian also accepts uninsurable deals. For example, they allow 30-year amortizations on conventional mortgages that don’t qualify for insurance, whereas insurable deals are limited to 25-year amortization."
"Insurers (Canada Guarantee)"                                           , "N"    , "(Not mentioned in the provided document.)"
"Insurers (CMHC)"                                                       , "N"    , "(Not mentioned in the provided document.)"
"Insurers (Sagen)"                                                      , "N"    , "(Not mentioned in the provided document.)"
"Lending Fee"                                                           , "N"    , "(No lender fees are mentioned for standard mortgages. Meridian charges a $250 fee for bridge loans, but no general “lending fee” is indicated for regular mortgages.)"
"Maintenance Fee"                                                       , "N"    , "(Not mentioned in the provided document.)"
"Qualify at Contract Rate"                                              , "Y"    , "No. Meridian does not qualify at the contract rate alone. All applicants must qualify at the higher of the 5.25% benchmark or contract rate + 2% (i.e. the standard stress test, which is above the contract rate)."
"Qualifying Rate for Conventional Deals"                                , "Y"    , "Stress test applies. All conventional (even uninsurable) mortgages are qualified at the greater of 5.25% or contract + 2%. (Meridian does not use a different qualifying rate for conventional deals; the same buffer over contract rate is used.)"
"Renewal Fees and Details"                                              , "N"    , "(Not mentioned in the provided document.)"
"Gifted Down Payment Aunt/Uncle"                                        , "Y"    , "Not allowed. Meridian restricts gifted down payments to immediate family members only (defined as parent, child, sibling, grandparent, legal guardian or dependent). Gifts from extended family like an aunt or uncle would not meet this requirement."
"Gifted From Immediate Family Member"                                   , "Y"    , "Allowed. Down payment can be 100% gifted by an immediate family member (mother, father, child, brother, sister, grandparent, legal guardian, or legal dependent), provided a letter or statement is provided confirming the availability of those funds."
"Gifted From Immediate Family Member (Rental)"                          , "N"    , "(Not addressed in the document. Likely not permitted, as gifts are typically for owner-occupied purchases only, but no explicit mention.)"
"Gifted Money From Non-Family"                                          , "Y"    , "Not allowed. Meridian will not accept a down payment gift from a non-family member – only gifts from immediate family are acceptable."
"Government Grants"                                                     , "N"    , "(Not mentioned in the provided document.)"
"How Much of the Down Payment Can Be Gifted? (100% or % From Own Funds)", "M"    , "100% can be gifted. The document does not impose any borrower own-funds minimum for down payment. Meridian allows the entire down payment to be gifted by an immediate family member (in addition to the required 1.5% of purchase price the borrower must show for closing costs)."
"Rent to Own Agreements"                                                , "N"    , "(Not mentioned in the provided document.)"
"RRSP Withdrawals"                                                      , "N"    , "(Not mentioned in the provided document.)"
"Vendor Take Back Mortgages"                                            , "Y"    , "Not allowed. Meridian does not permit secondary financing behind their first mortgage on a purchase. This includes any vendor take-back second mortgage – such arrangements are not allowed at time of purchase."
"Add Backs (CCA and Business Use of Home)"                              , "N"    , "(Not mentioned in the provided document.)"
"Business for Self (Self-Employed) Confirmed"                           , "N"    , "(Not mentioned in the provided document.)"
"Line 150 2 Year Average for BFS"                                       , "N"    , "(Not mentioned in the provided document.)"
"Line 150 Gross-up Income BFS"                                          , "N"    , "(Not mentioned in the provided document.)"
"Minimum Time in Business (BFS)"                                        , "N"    , "(Not mentioned in the provided document.)"
"Self Declared Income"                                                  , "N"    , "(Not mentioned in the provided document.)"
"Vehicle Allowance"                                                     , "N"    , "(Not mentioned in the provided document.)"
"Add Percent of Rents to Gross Income"                                  , "N"    , "(Not mentioned in the provided document.)"
"Alimony/Child Support (Income)"                                        , "N"    , "(Not mentioned in the provided document.)"
"Assets as income"                                                      , "N"    , "(Not mentioned in the provided document.)"
"Assured Income for the Severely Handicapped (AISH)"                    , "N"    , "(Not mentioned in the provided document.)"
"Bonus / Overtime"                                                      , "N"    , "(Not mentioned in the provided document.)"
"Canada Child Benefit (CCB)"                                            , "N"    , "(Not mentioned in the provided document.)"
"CCB Age Requirements"                                                  , "N"    , "(Not mentioned in the provided document.)"
"CCB How Much Can We Use? (% of Total Income)"                          , "N"    , "(Not mentioned in the provided document.)"
"Co-signer Has to be Related"                                           , "N"    , "(Not mentioned; no requirement for co-signer relationship is stated.)"
"Co-signer Required to be on Title"                                     , "N"    , "(Not mentioned in the provided document.)"
"Co-signer to Live in the Property"                                     , "N"    , "(Not mentioned in the provided document.)"
"Co-signers Allowed"                                                    , "Y"    , "Yes. Meridian allows co-borrowers (co-signers) on the mortgage. In fact, credit bureaus are required for all borrowers, co-borrowers, and guarantors, implying multiple applicants/co-signers are acceptable."
"Commissioned Income"                                                   , "N"    , "(Not mentioned in the provided document.)"
"Contract Income"                                                       , "N"    , "(Not mentioned in the provided document.)"
"Contributory Income"                                                   , "N"    , "(Not mentioned in the provided document.)"
"Do You Accept People on Probation"                                     , "N"    , "(Not mentioned in the provided document.)"
"Employment Insurance"                                                  , "N"    , "(Not mentioned in the provided document.)"
"Foster Care / Care Aide income"                                        , "N"    , "(Not mentioned in the provided document.)"
"Guarantor Has to be Related"                                           , "N"    , "(Not mentioned; Meridian does not require guarantors to be relatives.)"
"Guarantors Allowed"                                                    , "Y"    , "Yes. Meridian allows guarantors on mortgage applications (a current credit bureau is required for any guarantor just like for borrowers)."
"Guarantors Required to be on Title"                                    , "M"    , "No. Meridian differentiates between co-borrowers and guarantors, implying that guarantors are not required to be on title (they can guarantee the loan off-title)."
"Guarantors to Live in the Property"                                    , "N"    , "(Not mentioned; guarantors are typically not required to occupy the property.)"
"Hourly, Part time & Seasonal Income"                                   , "N"    , "(Not mentioned in the provided document.)"
"Investment Income / RRIF"                                              , "N"    , "(Not mentioned in the provided document.)"
"Long Term Disability"                                                  , "N"    , "(Not mentioned in the provided document.)"
"Maximum Number of Applicants"                                          , "N"    , "(Not mentioned in the provided document.)"
"Non-Taxable/Tips"                                                      , "N"    , "(Not mentioned in the provided document.)"
"OAS - CPP - RPP (Pension Income)"                                      , "N"    , "(Not mentioned in the provided document.)"
"On-Indian Reserve (Income)"                                            , "N"    , "(Not mentioned in the provided document.)"
"Ontario Disability Support Program Income"                             , "N"    , "(Not mentioned in the provided document.)"
"Parental/Maternity Leave"                                              , "N"    , "(Not mentioned in the provided document.)"
"Reduce Rental Expenses and Add to Gross Income"                        , "N"    , "(Not mentioned in the provided document.)"
"Rental (Income): Non-Subject Property"                                 , "N"    , "(Not mentioned in the provided document.)"
"Rental (Income): Owner-Occupied + Separate Unit"                       , "N"    , "(Not described; Meridian simply notes that if a property has a rental component (like a laneway suite), it’s treated under their rental income policy.)"
"Rental (Income): Subject Property"                                     , "N"    , "(Not mentioned in the provided document.)"
"Rental (Income): Worksheet"                                            , "N"    , "(Not mentioned in the provided document.)"
"Rental Income at Market Rents"                                         , "M"    , "Implied. Meridian will consider market rent appraisals – the policy states that market rent valuations (ordered via NAS) may be used, indicating they can use estimated market rent for income calculations when necessary (e.g., for vacant units)."
"Rental Pools"                                                          , "Y"    , "Not allowed. Properties that are in rental pools or resort rental programs are not eligible for Meridian financing."
"Rental Surplus/Shortfall Calculation"                                  , "N"    , "(Not mentioned in the provided document.)"
"Short Term Disability"                                                 , "N"    , "(Not mentioned in the provided document.)"
"Taxable Other"                                                         , "N"    , "(Not mentioned in the provided document.)"
"Trust (Income)"                                                        , "N"    , "(Not mentioned in the provided document.)"
"WSIB (Income)"                                                         , "N"    , "(Not mentioned in the provided document.)"
"Alimony (Expense)"                                                     , "N"    , "(Not mentioned; presumably treated as a liability in TDS, but not explicitly stated.)"
"Calculate Debt Payments as Stated on Credit Bureau"                    , "M"    , "Partially. Meridian generally uses the payment amounts as stated on the credit bureau for debts unless their policy specifies a higher payment. For example, for credit cards and unsecured lines of credit, they use the greater of 3% of the balance or the bureau-reported payment. For fixed loans (e.g., car loans, student loans in repayment), they use the actual monthly payment shown on the bureau."
"Calculate Debt Payments at BoC Rate Over 25 Years"                     , "Y"    , "No. Instead of using a Bank of Canada benchmark rate, Meridian calculates payments for secured lines of credit based on a 25-year amortization at the 5-year contract rate (the rate of the mortgage). (They did not indicate use of BoC rate for any debt servicing calculations.)"
"Calculate Debt Payments at the Total Limit"                            , "Y"    , "Yes, for HELOCs. For secured revolving credit (HELOCs), Meridian assumes the entire credit limit is utilized and calculates a payment based on amortizing that limit over 25 years at the 5-year rate. For unsecured revolving credit (credit cards/lines), they use the outstanding balance (with 3% payment) rather than the full limit."
"Calculate Debt Payments on Unsecured Loans"                            , "M"    , "Standard practice. For unsecured installment loans (e.g., personal loans), Meridian uses the actual monthly payment as reported on the credit bureau (no additional imputed payment, since no special rule is stated)."
"Child Support (Expense) deducted from Income"                          , "N"    , "(Not mentioned; child support would be treated as a liability in TDS, but not explicitly detailed.)"
"Closing Costs Calculation"                                             , "Y"    , "Meridian requires borrowers to prove 1.5% of the purchase price in available funds to cover closing costs, in addition to the down payment. (This applies to both high-ratio and conventional purchases.)"
"Condo Fee Calculation"                                                 , "N"    , "(Not explicitly detailed, but typically the full condo fee is included in TDS. No special calculation mentioned.)"
"Heat Calculation"                                                      , "N"    , "(Not mentioned; presumably a standard heat cost allowance is used, but it’s not specified in the document.)"
"OSAP (3% or Payment on Credit Bureau)"                                 , "Y"    , "Yes (treated as other student debt). For student lines of credit, use the greater of 3% of the balance or the payment on the bureau. For student loans in repayment (like OSAP after graduation), use the monthly payment shown on the credit bureau. If a government student loan is not yet in repayment, use the future payment as per the government’s loan repayment estimator."
"Property Tax Calculation"                                              , "Y"    , "If actual property taxes are unknown (e.g., for new builds), Meridian uses reasonable estimates. Acceptable methods: builder’s tax estimate, or the average taxes from similar listings, or an appraiser’s estimate. If none of those are available, use 0.75% of the purchase price as the tax estimate."
"Secured Revolving Debt Payments (HELOC)"                               , "Y"    , "For secured lines of credit (HELOCs), the payment for debt servicing is based on the approved credit limit amortized over 25 years at the 5-year contract interest rate. (This effectively assumes the HELOC is fully drawn.)"
"Shelter Costs"                                                         , "N"    , "(Not explicitly defined, but standard practice of including mortgage payment, property tax, heat, and 50% condo fees in GDS is implied.)"
"Student Loans (Expense)"                                               , "Y"    , "For student loans that are in repayment, use the actual monthly payment as disclosed on the credit bureau. (Meridian does not require a 3% assumption for installment student loans; the actual payment is used.)"
"Student LOC (3% or Payment on Credit Bureau)"                          , "Y"    , "Yes. For student line of credit debts, Meridian uses the greater of 3% of the outstanding balance or the payment reported on the credit bureau (same treatment as other unsecured lines of credit)."
"2nd Mortgage Allowed Behind You"                                       , "Y"    , "Not for purchases. Meridian does not allow a second mortgage to be placed behind their first mortgage at the time of purchase. (In other words, no secondary financing, like a VTB or other lender second, is permitted at closing.)"
"2nd Mortgages (Lender Arranged)"                                       , "M"    , "Limited. Meridian will consider a second-position mortgage only behind an existing Meridian first mortgage. In fact, they allow second mortgages behind their own first (in such cases, uninsurable, max 25-year amortization). (They do not otherwise broker second mortgages to other lenders.)"
"2nd Position HELOCs"                                                   , "N"    , "(Not mentioned; Meridian’s HELOC (Flex Line) is only offered in first position combined with a mortgage.)"
"3rd Mortgage Allowed Behind You"                                       , "N"    , "(Not mentioned, but no indication that 3rd position loans would be permitted.)"
"Assignments"                                                           , "Y"    , "Not allowed. Meridian will not lend on properties being purchased via an Assignment of purchase (i.e. assignment of an Agreement of Purchase and Sale)."
"Assumable"                                                             , "Y"    , "Yes. Meridian’s mortgages are assumable, subject to the incoming borrower meeting Meridian’s qualification requirements."
"Blend and Extend"                                                      , "Y"    , "Yes. Meridian allows a blend-and-extend when refinancing – borrowers can blend the existing rate with additional funds and extend the term (a feature available, for example, on variable-rate mortgages)."
"Bridge Financing"                                                      , "Y"    , "Yes. Meridian offers bridge financing for interim closings. It’s available through the broker channel with advance notice and is typically capped at 90 days. The rate for bridge loans is Meridian Prime + 2%, and there is a $250 application fee. (Brokers should note on submission if bridge financing is required.)"
"Change Payment Arrangement"                                            , "N"    , "(Not mentioned in the provided document.)"
"Credit Lines/HELOCs"                                                   , "M"    , "Meridian offers Home Equity Lines of Credit as part of its Flex Line (mortgage + HELOC) product. The HELOC portion can go up to 65-70% LTV (within the overall 80% limit) depending on borrower’s qualifications. (No standalone HELOC through brokers is indicated beyond the combo product.)"
"Free Home Warranty"                                                    , "N"    , "(Not mentioned in the provided document.)"
"Holding Companies"                                                     , "Y"    , "Not allowed (in broker channel). Meridian will not finance properties held in a business or holding company name through the broker channel. (Such deals are referred to Meridian’s commercial department, with no broker compensation.)"
"Compounded Period for Variable"                                        , "N"    , "(Not mentioned; presumably standard semi-annual compounding for fixed, monthly for variable, but not specified.)"
"Insured Switch/Transfer"                                               , "Y"    , "Yes. Meridian will accept transfers (“switches”) of existing first mortgages that are insured or insurable as is. (If the mortgage fails to meet insurable criteria, it isn’t treated as a straight switch but rather as a refinance with full underwriting)."
"Max Rate Holds (Days)"                                                 , "Y"    , "120 days. Meridian’s rate hold commitment is valid for up to 120 days on both purchases (including new builds) and refinances."
"Maximum Amortization (25 years)"                                       , "Y"    , "Yes. Meridian offers up to 25-year amortization on mortgages (and 25 years is the maximum for any insured or insurable mortgage)."
"Maximum Amortization (30 years)"                                       , "Y"    , "Yes. Meridian offers 30-year amortizations on conventional mortgages that are uninsurable (e.g., refinances, or purchases that don’t qualify for insurance)."
"Maximum Amortization (35 years)"                                       , "N"    , "(Not offered by Meridian – max 30 years for conventional loans.)"
"Maximum Amortization (40 years)"                                       , "N"    , "(Not offered by Meridian.)"
"Maximum Equity Take-Out ($)"                                           , "N"    , "(Not specified; Meridian’s only noted cap is on LTV and mortgage size, not a separate cash-out dollar limit.)"
"Maximum Loan to Value 1st Mortgage"                                    , "Y"    , "95% for purchases. Meridian lends up to 95% LTV on high-ratio owner-occupied purchases. For conventional loans (including any refinance), the max LTV is 80%. (They reserve the right to restrict LTV on any deal at their discretion.)"
"Maximum Loan to Value 2nd or 3rd Mortgages"                            , "N"    , "(Not explicitly stated; by policy second mortgages behind Meridian firsts would fall under total 80% LTV cap, but no specific guideline given.)"
"Maximum Mortgage Amount"                                               , "Y"    , "$2.25 million. Meridian’s maximum mortgage amount is capped at $2,250,000 total loan per property. (Loans above $1.5–$2M may trigger additional appraisal requirements as noted.)"
"Minimum Mortgage Amount"                                               , "N"    , "(Not mentioned in the provided document.)"
"Minimum Amortization (years)"                                          , "N"    , "(Not mentioned in the provided document; presumably 5 years is the minimum, but not stated.)"
"Mortgage Registration Type"                                            , "N"    , "(Not mentioned; Meridian accepts standard-charge transfers in, but their own registration type isn’t specified here.)"
"Mortgage Reports to Credit Bureau"                                     , "N"    , "(Not mentioned, though Meridian likely reports trade lines to credit bureaus.)"
"New Home Rate Hold Guarantee"                                          , "N"    , "(Not mentioned in the provided document.)"
"Payment Frequency Options"                                             , "N"    , "(Not mentioned, but standard monthly/biweekly/etc. options likely available by default.)"
"Penalty Calculations for Breaking Mortgage"                            , "Y"    , "For fixed-rate mortgages, Meridian uses an IRD (interest rate differential) formula based on their posted (floor) rates. The penalty is calculated using the original posted rate for the mortgage and the posted rate for the remaining term at the time of payout. (3 months’ interest applies for variable-rate mortgages.)"
"Portable"                                                              , "Y"    , "Yes. Meridian’s mortgages are portable to another residential property in Ontario (allowing borrowers to transfer their mortgage to a new home, subject to approval)."
"Prepayment Options"                                                    , "Y"    , "Meridian offers 20/20 prepayment privileges. Borrowers can increase their regular payment by up to 20% per year, and/or make lump-sum principal payments (minimum $100 each) up to 20% of the original principal per year. The total of all prepayments cannot exceed 20% in any one calendar year."
"Private Purchases"                                                     , "Y"    , "Yes. Meridian will finance private sale purchases (non-MLS transactions), but a full appraisal is required on all private purchases. (Non-arm’s-length or unusual private deals may be subject to additional scrutiny.)"
"Rate Buy-Down Information"                                             , "Y"    , "Yes. Meridian allows brokers to buy down the interest rate by up to 15 bps (0.15%) at the cost of a commission reduction. Each 5 bps rate reduction costs 20 bps of the broker’s commission. The borrower must still qualify under standard GDS/TDS ratios, and the buy-down request must accompany the submission."
"Rate Drop Policy"                                                      , "N"    , "(Not mentioned in the provided document.)"
"Skip a Payment"                                                        , "N"    , "(Not mentioned in the provided document.)"
"Sliding Scale"                                                         , "Y"    , "Yes. Meridian uses a sliding scale on high-value properties. For example, for owner-occupied properties: they will lend 80% LTV on the first $1–2 million and 50% on the portion above that (overall cap $2.25M). In GTA markets, the first-tier threshold is $2.0M; outside GTA it’s $1.0–1.5M."
"Unsecured Line of Credit"                                              , "N"    , "(Not offered through the broker channel aside from credit card debt considerations.)"
"Value Added Products"                                                  , "N"    , "(Not mentioned in the provided document.)"
"Variable-Rate to Fixed-Rate Conversion"                                , "N"    , "(Not mentioned, though typically allowed, it’s not specified in this document.)"
"VRM and/or ARMs"                                                       , "Y"    , "Yes. Meridian offers Variable Rate Mortgages (VRM). Features of their VRM include the ability to port to a new property or refinance via blend-and-extend. A VRM can be paid out before maturity with a 3-month interest penalty (instead of an IRD)."
"What Rate Are Penalties Calculated At"                                 , "Y"    , "Meridian calculates payout penalties using their posted (floor) rates – the IRD is based on the original posted rate for the mortgage and the posted rate corresponding to the remaining term at time of break. (For variables, 3 months’ interest is charged.)"
"Agricultural/Agricultural Zoning"                                      , "Y"    , "Not allowed as residential deals. Meridian will not finance properties that are primarily agricultural. Working farms or hobby farms do not qualify, and any rural property must be within 50 km of an urban center (pop. ≥ 15,000) to be considered residential."
"AirBnB/Short Term Rental Properties"                                   , "Y"    , "Not allowed. Short-term vacation rental properties (e.g. homes intended for Airbnb/VRBO use) are ineligible for Meridian mortgages."
"Commercial"                                                            , "Y"    , "Not in broker channel. Meridian does not do commercial or mixed-use mortgages through the broker channel. (Such deals can be referred to Meridian’s commercial department, but brokers are not compensated.)"
"Compostable Toilets"                                                   , "N"    , "(Not mentioned; however, Meridian requires properties to have standard utilities – e.g. 100 Amp service – so non-traditional systems likely not acceptable.)"
"Farms"                                                                 , "Y"    , "Not allowed. Meridian will not finance working farm properties (these are outside the scope of residential lending). (Farm applications can be referred to commercial/agricultural partners, but not via the broker residential program.)"
"Grow Ops"                                                              , "Y"    , "Not allowed. Properties identified as former grow-ops (marijuana grow houses), whether remediated or not, are not accepted by Meridian."
"Heritage Buildings"                                                    , "Y"    , "Not allowed. Heritage properties (historically designated buildings) are not eligible for Meridian residential financing."
"Hobby Farms"                                                           , "Y"    , "Not allowed. Hobby farms (even small-scale farms or rural properties with livestock or crops, even if farmed by someone else) do not qualify for Meridian mortgages."
"Hotel Condos"                                                          , "Y"    , "Not allowed. Hotel condominium units (condos that operate like hotels) are ineligible for Meridian financing."
"Island Properties"                                                     , "N"    , "(Not mentioned in the provided document.)"
"Laneway Housing"                                                       , "Y"    , "Allowed with conditions. Laneway or carriage homes on the same title as the main property are acceptable only if they meet all Meridian’s criteria: the laneway unit must share the same PIN as the main house, have proper permits, be a self-contained year-round dwelling (with kitchen and bath) at least 350 sq. ft., and be smaller than the main house. The main house must be owner-occupied, and if the laneway home is rented out, it will be treated under Meridian’s rental income policy."
