"{""Y/N/M"": ""N"", ""POLICY DETAILS"": """", ""POLICY NAME"": ""Investment Income / RRIF""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Long Term Disability""}"
"{""Y/N/M"": ""N"", ""POLICY DETAILS"": """", ""POLICY NAME"": ""Maximum Number of Properties""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Minimum Population Requirement""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Minimum Square Footage (Condo)""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Minimum Square Footage (House)""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""... details ..."", ""POLICY NAME"": ""Mixed Use (Commercial/Residential)""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Mobile Homes/Modular Homes""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Non-Legal Rental Unit Allowed""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Off Grid Properties""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Past Foreclosures on Property""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Power of Sale Listings""}"
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""Some lenders may require a Consent To Release Information form to be signed by the client, but this varies by lender."", ""POLICY NAME"": ""Provincial Restrictions""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Rooming Houses""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Rural Properties""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Solar Panels""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Student Housing""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Tarion Required for New Home Builds""}"
"{""Y/N/M"": ""M"", ""POLICY DETAILS"": ""Consent to release information is implied as part of the underwriting process but not explicitly stated in the provided documents."", ""POLICY NAME"": ""Well/Septic""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""... details about the policy as described in the text."", ""POLICY NAME"": ""Wind Turbines""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Wood Frame Houses""}"
"{""Y/N/M"": ""N"", ""POLICY DETAILS"": ""Not explicitly mentioned in the provided text."", ""POLICY NAME"": ""FORMS""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Consent To Release Client Information""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Digital Signing""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""DocuSign""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Gift Letter""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Payout Authorization Form""}"
---Error--- "{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""..."", ""POLICY NAME"": ""Penalty Calculator""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Pre-Authorized Debit Agreement""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""Tax Application Form""}"
"{""Y/N/M"": ""Y"", ""POLICY DETAILS"": ""Meridian requires signed consent from all applicants prior to underwriting, but does not provide consent forms to brokers."", ""POLICY NAME"": ""NICHES""}"
