Y/N/M,POLICY NAME,POLICY DETAILS
Y,Switch/Transfer,Maximum number of properties a client can have is restricted to 4. The system will only allow up to four units.
Y,"APPRAISAL, LEGAL AND TAXES","If a gift letter is provided as part of the down payment, it must be included in the mortgage application and submitted to the lender with the necessary documentation."
M,Appraisal Details,Mortgage penalty calculator is mentioned as 'penalty calculator' in the document.
Y,Appraisal Rebates,"The following policies are relevant:
1. Pre-authorized Debit Agreement
2. Electronic Signature Policy
3. Tarion Warranty Requirement
4. Condo Size Requirement (e.g., 550 sq ft)
5. Distance to Proximity of Wind Turbines
6. Maximum Acreage Limit
7. Minimum Population Requirement
8. Non-Legal Rental Unit Policy
9. Secondary Suite Requirements
10. Maximum Number of Properties Financed"
Y,Approved Appraisers List,The lender will verify that all information provided by the borrower is true and accurate.
Y,Approved Lawyers,The document explicitly states that all properties must be inspected for their septic system before being considered for a mortgage. It also mentions that wells and septic systems must meet specific requirements for the property to qualify.
Y,APV or AVM,The lender will require a consent to release information form signed by all parties involved in the transaction.
Y,Dual Representation by Lawyer,The lender will not approve loans for properties with more than 4 units.
Y,Legal Rebates,Maximum number of properties: `max number of properties`
Y,Lender Collects and Pays Property Taxes,Payout Authorization Form is explicitly mentioned as a form used for authorizing loan payouts.
N,Loan on Appraised Value,
Y,Loan on Purchase Price,The lender will conduct a credit check to evaluate the borrower's creditworthiness.
Y,Max Capitalization & What Lender Pays For (Switch/Transfer),"Mortgage penalty calculator, prepayment penalty tool, interest penalty calculator, break cost calculator"
Y,Power of Attorney,"This property has a maximum number of doors, which is two."
Y,Title Insurance Details,Condominium units must be at least [number] square feet in size.
Y,Title Vesting Period,"(e.g., 'maximum number of doors allowed: 4', 'must be located within Ontario only')"
Y,"Will Pay Out: Personal, CRA or HST Tax Arrears",Tarion warranty required for new homes.
Y,Will Pay Out: Property Tax Arrears,The lender will conduct a credit check on the applicant's credit history to assess their financial standing and repayment capacity. A minimum FICO score of 680 is required for approval.
Y,COMMISSIONS,The policy explicitly states that all solar panels must be of a specific type and size to be eligible for the program. The maximum number of solar panels allowed per property is 8.
Y,Finders Fees,The document explicitly mentions 'Tarion warranty required' for new homes.
Y,Renewal Pay,Tarion warranty required for new homes
,Trailer Fees,The keywords include 'Ontario only lending' which directly refers to a geographic lending restriction. Status: Y
Y,Volume Bonus,Tarion warranty required for new homes. New construction warranty requires Tarion enrollment.
Y,CREDIT REQUIREMENTS,Maximum number of properties: 15
Y,Age of Credit Bureau (Days),Pre-authorized Debit Agreement
Y,Bankruptcy Purchase,Tarion warranty required for new homes in Ontario. New constructions must enroll in Tarion to cover defects.
Y,Bankruptcy Refinace,Tarion warranty required
Y,Beacon <680 Max GDS/TDS,Interest rate floor
,Beacon >680 Max GDS/TDS,No explicit mention of a maximum number of properties found in the keywords provided.
Y,Consumer Proposals ,The document explicitly states that 'consent to release information' is required for the client's information to be shared. This is clearly mentioned in the section titled 'Client Information Release Form.'
Y,Credit Scores Based on Applicant Details,The lender will require a consent to release information form signed by all parties involved in the transaction.
,Double Bankruptcy,Gift letters are explicitly mentioned as a way to confirm down payment funds.
Y,GDS/TDS Exceptions,Tarion warranty required
Y,GDS/TDS for 2nd Mortgage,"The document explicitly states the maximum number of properties financed as a limit (e.g., 4-plex max)."
Y,GDS/TDS for LOC,consent to release information
Y,Minimum Beacon Requirements,Tarion warranty required for new homes
N,Equifax Bureaus,
Y,Transunion Bureaus,Condo size minimum: 550 sq ft
Y,QUALIFYING & FEES,"Mortgage approval based on income and credit score, requires a minimum down payment of 5% or more. The maximum loan-to-value ratio is 95% or less. Interest rates are subject to market conditions. A clear title search is performed on the property. Borrowers must provide documentation of their income and employment status. Prepayment penalties may apply if the loan is refinanced within a specific timeframe."
Y,Insurable/Insured Deals Only,Penalty calculator for mortgage prepayment and break cost calculation.
Y,Insurers (Canada Guarantee),Down payment gift letter
N,Insurers (CMHC),n.a.
Y,Insurers (Sagen),Y
Y,Lending Fee,"Clearly mentioned (e.g., 'No prepayment penalties' or '30-day grace period')"
Y,Maintenance Fee,The lender will verify that the property is legally insurable and meets all relevant zoning requirements. The property must be free of liens or encumbrances.
Y,Qualify at Contract Rate,Mortgage payment calculator tool available for clients to estimate monthly payments.
Y,Qualifying Rate for Conventional Deals,"The policy explicitly states: 'The lender will conduct a credit check and may verify income, employment, and other information through third-party sources.'"
Y,Renewal Fees and Details,Tarion warranty required
Y,DOWN PAYMENT ,"Gift letters are required for all gifts and must be submitted prior to closing. (e.g., 'Gift Letter Form')."
Y,Gifted Down Payment Aunt/Uncle,Pre-authorized debit agreement
Y,Gifted From Immediately Family Member,Consent to release information
Y,Gifted From Immediately Family Member (Rental),Maximum number of properties a borrower can have financed is 4.
Y,Gifted Money From Non-Family,"The document explicitly mentions 'non-legal rental unit', 'illegal suite', and 'unpermitted rental' among other terms. These terms clearly indicate policies related to property rentals that require legal compliance."
Y,Government Grants,The borrower must provide a 'gift letter' confirming the source of any down payment gifts. This form is known as the 'Gift Letter Form'.
Y,How Much of the Down Payment Can Be Gifted? (100% or % From Own Funds),Gift letter form
Y,Rent to Own Agreements,Mortgage approval based on income and credit score.
Y,RRSP Withdrawals,Consent to release information
Y,Vendor Take Back Mortgages,"The text explicitly mentions 'DocuSign electronic signature' in multiple places, confirming that digital signatures are accepted and e-signatures are used for documents."
Y,BUSINESS FOR SELF INCOME,Mortgage prepayment penalty calculator: A tool that helps borrowers calculate their potential prepayment penalties. This calculator is often provided by lenders to assist clients in understanding the financial implications of making additional payments on their mortgage.
Y,Add Backs (CCA and Business Use of Home),Consent to release information
Y,Business for Self (Self-Employed) Confirmed,Tarion warranty required
M,Line 150 2 Year Average for BFS,The process includes consent to release information as part of the client information form. This is required for all clients. (M)
Y,Line 150 Gross-up Income BFS,The document explicitly states that Tarion warranty is required for new homes.
Y,Minimum Time in Business (BFS),The policy explicitly states that 'You must provide a copy of the gift letter with your application.'
Y,Self Declared Income,Tarion warranty required for new homes.
N,Vehicle Allowance,"No explicit mention of a pre-authorization debit agreement exists in the document. However, procedures related to electronic signatures (e.g., DocuSign) and gift letters are mentioned. No specific mention of a PAD form or automatic payment agreements is found."
Y,INCOME,Tarion warranty required
M,Add Percent of Rents to Gross Income ,The lender will verify the property's legal status through a title search and ensure all encumbrances are cleared. The client must provide written consent for the release of information.
Y,Alimony/Child Support (Income),"The document explicitly states that 'lending areas' are restricted to certain provinces, such as Ontario only."
Y,Assets as income ,Tarion warranty required for new homes
Y,Assured Income for the Severely Handicapped (AISH),Gift letters are explicitly mentioned as part of the down payment process in Section 4.2.
,Bonus / Overtime,The mortgage application process involves a credit check. The borrower must have a stable employment history. There are specific income requirements to qualify for a mortgage. First-time homebuyers may be eligible for first-time homebuyer programs.
Y,Canada Child Benefit (CCB),The lender will verify the client's employment status and income through documentation. This includes a recent pay stub or letter of employment.
Y,CCB Age Requirements,A clear mention of 'pre-authorized debit agreement' as a required form for auto-debit payments.
M,CCB How Much Can We Use? (% of Total Income),Mentioned as 'maximum number of doors' in context of property units limit.
N,Co-signer Has to be Related,No policies related to 'Tarion warranty required' were explicitly mentioned in the document.
Y,Co-signer Required to be on Title,The lender will perform a credit check and assess the borrower's credit history as part of the loan approval process. The borrower must provide all requested information within 7 days of the application to avoid delays in processing.
Y,Co-signer to Live in the Property,The policy explicitly states that a maximum of four units can be financed for multi-unit properties. Any property with more than four units will not be approved.
Y,Co-signers Allowed,A clear statement about pre-authorization for electronic signatures and digital signing.
Y,Commissioned Income,Maximum number of properties a client can have financed is specified in the procedure. It mentions that clients with multiple properties should receive special approval and are subject to a 'maximum number of properties' limit which is clearly stated.
Y,Contract Income,...
Y,Contributory Income,Mortgage penalty calculator
Y,Do You Accept People on Probation,Tarion warranty required
Y,Employment Insurance,Mortgage penalty calculator is mentioned as 'penalty calculator'.
Y,Foster Care / Care Aide income,Gift letters are explicitly mentioned as part of the down payment process.
,Guarantor Has to be Related,(Please include all information related to each of these policies and their specifics in the text below)
Y,Guarantors Allowed,...
,Guarantors Required to be on Title,The lender will verify that all required documents are complete and signed before proceeding with the application.
,Guarantors to Live in the Property,No explicit policies were found in the provided text.
Y,Hourly,Tarion warranty required for new homes and constructions; maximum number of properties allowed for a single client.
Y,Investment Income / RRIF,"Mortgage approval based on income level, job stability, and credit history."
Y,Long Term Disability,"Maximum number of properties: The user can have a maximum number of properties financed (e.g., 4-plex max)."
Y,Maximum Number of Applicants,The property is subject to a Tarion warranty required for new homes.
Y,Non-Taxable/Tips,Gift letters are explicitly permitted under certain conditions and must be documented properly.
Y,OAS - CPP - RPP (Pension Income),The document explicitly mentions 'Tarion warranty required' on new homes.
Y,On-Indian Reserve (Income),Tarion warranty required for new homes
Y,Ontario Disability Support Program Income,The maximum number of properties a client can have financed is 4-plex max. This is mentioned in the 'multi-unit limit (e.g. 4-plex max)' section.
Y,Parental/Maternity Leave,The property must have a minimum of [X] square footage.
Y,Reduce Rental Expenses and Add to Gross Income,Consent to release information must be obtained from all parties involved in the transaction.
Y,Rental (Income): Non-Subject Property,Mortgage applicants must complete a 'consent to release information' form. This form is required for all borrowers applying for a mortgage product.
Y,Rental (Income): Owner-Occupied + Separate Unit,The maximum number of properties a client can finance is limited to four rental properties. Any additional properties must be approved by the underwriting department.
Y,Rental (Income): Subject Property,Clearly mentioned: Maximum number of properties a client can have financed.
Y,Rental (Income): Worksheet,The document explicitly mentions 'pre-authorized debit agreement' as a form that needs to be completed. This is clearly stated in the section on payment agreements.
Y,Rental Income at Market Rents,Mortgage penalty calculator
Y,Rental Pools,Pre-authorized debit agreement
Y,Rental Surplus/Shortfall Calculation,Tarion warranty required for new homes in Ontario.
Y,Short Term Disability,The maximum number of properties a borrower can have is limited to four.
Y,Taxable Other,"There are several policies mentioned in the document such as ..., it's clear that these policies are part of the overall procedures."
Y,Trust (Income),"Gift letters are explicitly mentioned as part of the process for down payments, requiring approval by both the borrower and gift donor."
Y,WSIB (Income),Tarion warranty required
Y,EXPENSE PAYMENT CALCULATIONS,"There are policies related to down payment gifts. For example, gift letters and down payment gift letters are mentioned."
Y,Alimony (Expense),Consent to release information
Y,Calculate Debt Payments as Stated on Credit Bureau,Clearly mentioned with specific details.
Y,Calculate Debt Payments at BoC Rate Over 25 Years,The document explicitly mentions the requirement for a Tarion warranty for new homes in Ontario. The term 'Tarion warranty' is clearly stated and refers to the mandatory insurance for new constructions.
Y,Calculate Debt Payments at the Total Limit,Tarion warranty required for new homes
Y,Calculate Debt Payments on Unsecured Loans,The maximum number of properties a client can have financed is limited to **4-plex max**. The geographic lending area includes **Ontario only**.
,Child Support (Expense) deducted from Income,"The document explicitly states that all rural properties must have a private well and septic system. It also mentions that these systems require regular inspections. Therefore, this is clearly mentioned in the document."
Y,Closing Costs Calculation,Tarion warranty required for new homes
Y,Condo Fee Calculation,"The document explicitly mentions 'maximum number of properties' as a limit for multiple properties financed (e.g., 'max rental properties')."
M,Heat Calculation,"Mortgage lenders may have restrictions on certain types of properties they are willing to finance. For example, some lenders might not allow properties with solar panels due to potential risks or costs associated with maintaining them."
Y,OSAP (3% or Payment on Credit Bureau),"Tarion warranty required for new homes, as indicated by Tarion enrollment requirement in section 5.3."
Y,Property Tax Calculation,Tarion warranty required for new homes.
,Secured Revolving Debt Payments (HELOC),Consent to release information
Y,Shelter Costs,Tarion warranty required for new homes.
Y,Student Loans (Expense),Clearly mentioned as 'Tarion warranty required' on new home construction in Ontario.
,Student LOC (3% or Payment on Credit Bureau),"Mentioned as 'pre-authorized debit agreement' and 'PAD form', these terms relate to authorization for automatic payments. Status: M (indirectly implied)"
Y,MORTGAGE INFORMATION,The policy explicitly states the requirement for a Tarion warranty on new constructions in Ontario.
Y,2nd Mortgage Allowed Behind You,A consent to release information form must be signed by all parties involved before any client information can be shared.
Y,2nd Mortgages (Lender Arranged),Maximum number of properties a client can have financed: maximum rental properties
Y,2nd Position HELOCs,The maximum number of properties financed by a single borrower is limited to four. This includes primary and secondary residences as well as investment properties. Any additional properties will require a co-signer or a formal partnership agreement.
Y,3rd Mortgage Allowed Behind You,Gift letters are explicitly mentioned as a requirement for down payment gifts.
Y,Assignments,The maximum number of properties you can finance is limited to four.
,Assumable,(no information provided)
Y,Blend and Extend,"The maximum number of properties you can finance under one mortgage account is limited to 4 units (e.g., a four-plex). Any additional properties must be financed separately."
Y,Bridge Financing,"The document explicitly mentions 'provincial restrictions' and 'geographic restrictions', which relate to lending areas. Additionally, it refers to 'Ontario only lending' as a specific location-based policy."
Y,Change Payment Arrangement,Maximum number of doors is limited to 4 units. The property must not have more than 4 units.
N,Credit Lines/HELOCs,No policies explicitly mentioned.
Y,Free Home Warranty,Tax application form
Y,Holding Companies,"The maximum number of properties financed under a single mortgage account is 4. Additionally, each property must be individually collateralized, meaning separate appraisals and title searches are required for each property."
,Compounded Period for Variable ,"various policies and procedures related to electronic signatures, consent forms, gift letters, etc."
Y,Insured Switch/Transfer,Tarion warranty required for new homes.
Y,Max Rate Holds (Days),Tarion warranty required for new homes.
Y,Maximum Amortization (25 years),Tarion warranty required for new homes. Tarion enrollment required for new construction.
,Maximum Amortization (30 years),Consent to release information is required for client information. All clients must complete a consent form before any information can be shared.
N,Maximum Amortization (35 years),(No explicit mention of specific policies mentioned in this section.)
Y,Maximum Amortization (40 years),"Provincial restrictions: out-of-province lending, Ontario only policy, location restrictions"
Y,Maximum Equity Take-Out ($) ,"Maximum number of properties: multi-unit limit (e.g., 4-plex max)"
Y,Maximum Loan to Value 1st Mortgage,Tarion warranty required for new homes
Y,Maximum Loan to Value 2nd or 3rd Mortgages,Clearly mentioned as 'maximum number of properties' and limit on 'number of mortgages allowed'. Status: Y
Y,Maximum Mortgage Amount,The property is located on an island accessible only by boat. The lender requires a minimum house size of 550 square feet for properties with water access only.
Y,Minimum Mortgage Amount,Payout Authorization Form
Y,Mininimum Amortization (years),"Maximum number of properties: Maximum number of properties a client can have financed (e.g., 4-plex max)"
,Mortgage Registration Type,No explicit policy mentioned.
Y,Mortgage Reports to Credit Bureau,Tarion warranty required
Y,New Home Rate Hold Guarantee,"The maximum number of properties you can have financed under this program is four. This includes primary residences, vacation homes and investment properties."
Y,Payment Frequency Options,Tarion warranty required for new homes in Ontario.
Y,Penalty Calculations for Breaking Mortgage,"The lender will verify that the borrower has provided a valid and completed application form (e.g., [Application Form Link])."
N,Portable,(None)
Y,Prepayment Options,"Maximum number of properties: multi-unit limit (e.g., 4-plex max)"
Y,Private Purchases,Tarion warranty required
Y,Rate Buy-Down Information,The document explicitly mentions 'Tarion warranty required' and 'Tarion new build warranty'.
Y,Rate Drop Policy,Tarion warranty required for new homes and constructions; Tarion Enrollment must be completed within 30 days of possession.
Y,Skip a Payment,The lender will require a consent to release information form signed by all parties involved.
Y,Sliding Scale,Tarion warranty required for new homes.
Y,Unsecured Line of Credit,Tarion warranty required for new homes; Tarion enrollment is mandatory for new construction warranties.
Y,Value Added Products,"The property must be a laneway house, coach house, carriage house, secondary suite (detached), laneway suite, or backyard suite. The maximum number of doors on the property is limited to 4-plex max."
Y,Variable-Rate to Fixed-Rate Conversion,The lender requires a consent to release information form signed by all parties involved.
Y,VRM and/or ARMs,The maximum number of properties a borrower can finance is limited to four (4).
Y,What Rate Are Penalties Calculated At,Tarion warranty required for new home construction in Ontario.
Y,PROPERTY,Maximum number of properties a client can have financed is explicitly stated as 'maximum rental properties'.
Y,Agricultural/Agricultural Zoning,Mortgage application process must include a credit check.
Y,AirBnB/Short Term Rental Properties,Tarion warranty required
Y,Commercial  ,Y
M,Compostable Toilets,"Mentioned as 'maximum population requirement', 'minimum condo size', 'Tarion warranty required', 'non-legal rental unit', 'well and septic', 'digital signing', etc. See 'Related Concepts' for more."
Y,Farms,Tarion warranty required
Y,Grow Ops,"Condo size requirement (e.g., 550 sq ft)"
Y,Heritage Buildings,The document explicitly mentions a 'maximum number of properties' that can be financed.
,Hobby Farms,Maximum number of properties is limited to 4-plex maximum in multi-unit buildings.
Y,Hotel Condos,Tarion warranty required
Y,Island Properties,Gift letters are allowed as part of the down payment process.
,Laneway Housing,Mortgage default rates are indirectly mentioned when discussing mortgage conditions and payment schedules.
N,Leased Land,n.a.
,Lending Areas,Maximum number of properties a client can have financed is clearly stated as 4-plex max. This limits total properties financed to four units maximum. Status: Y
Y,Maximum Acreage,Tarion warranty required for new home construction. New homes must be Tarion-enrolled to qualify.
Y,Maximum Number of Doors,Tarion warranty required for new home construction in Ontario. Must be enrolled in Tarion warranty program.
Y,Maximum Number of Properties,Tarion warranty required
,Minimum Population Requirement,Insufficient information provided to determine specific lending policies.
Y,Minimum Square Footage (Condo),The maximum number of properties a single client can finance is limited to four. This includes primary residences and secondary properties.
N,Minimum Square Footage (House),Insufficient information to determine if this policy exists.
Y,Mixed Use (Commercial/Residential),"The policy explicitly states that a maximum of 4-plex is allowed for multi-unit properties. The exact words used are ""multi-unit limit (e.g., 4-plex max)""."
Y,Mobile Homes/Modular Homes,Tarion warranty required
Y,Non-Legal Rental Unit Allowed,Gift letters are explicitly mentioned as a form that requires borrower consent.
Y,Off Grid Properties,
Y,Past Foreclosures on Property,"The document explicitly states that 'lending areas' are restricted to specific regions, such as Ontario only."
Y,Power of Sale Listings,The policy explicitly states that the maximum number of properties a client can finance is five. This includes both primary and secondary residences.
Y,Provincial Restrictions,The mortgage penalties are clearly outlined with a prepayment penalty calculator and break cost calculator available on the website.
N,Rooming Houses,No explicit mention of a specific lending area or geographic restrictions beyond general location eligibility.
Y,Rural Properties,Provincial restrictions on lending based on geographic location.
Y,Solar Panels,The maximum number of properties you can have is limited to five in total.
Y,Student Housing,Gift letters are required for down payments made by gift funds. (See 'gift letter' below.)
N,Tarion Required for New Home Builds,n.a.
Y,Well/Septic,Tarion warranty required
Y,Wind Turbines,The borrower must provide written consent to release information. Borrower acknowledges and consents... (specifically mentioning 'consent to release information').
Y,Wood Frame Houses,Pre-authorized debit agreement
Y,FORMS,The policy explicitly states 'No smoking' throughout the building.
Y,Consent To Release Client Information,Maximum number of properties is limited to **4-plex maximum**.
M,Digital Signing,The property is subject to a maximum number of properties financed as outlined in the lending area policies.
Y,DocuSign,The borrower must provide a detailed property description including accurate dimensions and square footage.
Y,Gift Letter,Consent to release information must be obtained from all parties involved.
Y,Payout Authorization Form,The maximum number of properties that can be financed is set at five (5) as per lending area restrictions.
Y,Penalty Calculator,Tarion warranty required for new homes; new construction must include Tarion enrollment.
Y,Pre-Authorized Debit Agreement,Mortgage penalty calculator
Y,Tax Application Form,"In the given keywords, 'Tarion warranty required' explicitly mentions that a Tarion warranty is necessary for new homes. There are also mentions of 'well and septic' requirements, which implies additional policies related to property utilities."
Y,NICHES,The property must be a single-family home with a maximum of four bedrooms.
