Y/N/M, POLICY NAME                                                           , POLICY DETAILS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , PROVED TO BE TRUE (Y/N)
Y    , BFS (CMHC Program)                                                    , Meridian does not compensate brokers for commercial / small business referrals.
Y    , Dual Representation by Lawyer                                         , Dual Representation by Lawyer A lawyer or attorney must represent both the buyer and the seller in a real estate transaction to avoid conflicts of interest.
M    , Legal Rebates                                                         , "Legal rebates are not explicitly stated in the document. However, they can be inferred by considering the mention of specific property types and potential legal requirements related to their use, such as zoning laws or regulatory approvals."
Y    , Lender Collects and Pays Property Taxes                               , Lender collects and pays property taxes as part of the monthly payment.
M    , Loan on Appraised Value                                               , Meridian will base the lending value on the lower of the two values provided by the appraisals.
M    , Loan on Purchase Price                                                , Each 5bps buy down will cost 20bps reduction in commissions. Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term.
M    , Max Capitalization & What Lender Pays For (Switch/Transfer)           , "The document discusses properties such as rooming houses, student housing, bed and breakfasts, mobile homes, trailer parks, resort-style properties, pre-fabricated homes, previous grow-ops, hotel condos, live/work properties, non-conventional construction, rental pools, and resort properties. While not explicitly stated in the text, these discussions imply that there are limitations or specific requirements related to capitalization and what the lender pays for when transferring or switching mortgages."
M    , Power of Attorney                                                     , "Previous Grow-Ops, whether remediated or not."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , N (Power of Attorney POA signatures are not acceptable.)
M    , Title Insurance Details                                               , Meridian's insurance policies include coverage for title issues such as defects in title. These can be inferred from discussions regarding home insurance requirements and specific property types that may require additional policies.
M    , Title Vesting Period                                                  , "The document discusses various property types such as pre-fabricated homes and mobile homes, but does not explicitly mention a 'Title Vesting Period' or related terms. However, the presence of specific property types may imply that there are seasoning requirements or time on title policies in place to ensure proper vesting."
M    , "Will Pay Out: Personal, CRA or HST Tax Arrears"                      , "The document outlines various property types such as pre-fabricated homes, previous grow-ops, hotel condos, rooming houses, student housing, bed & breakfast, mobile homes, trailer and resort-style properties, live/work properties, non-conventional construction like dome houses, rental pools, and resort properties. Additionally, it mentions owner-occupied residential properties including single-family detached, semi-detached, townhouses, and row houses. These property types are categorized under different policies related to housing and land use."
N    , Will Pay Out: Property Tax Arrears                                    , 
M    , COMMISSIONS                                                           , "Meridian's commission structure for real estate transactions, such as those involving pre-fabricated homes, power of sale properties, and multi-unit dwellings. This includes policies related to appraisal ordering (using NAS, Solidifi, or RPS) and valuations (AVM or market rent), as well as requirements like transmittal letters and exception approvals for non-Meridian appraisal reports."
M    , Finders Fees                                                          , Meridian will consider the following types of property as acceptable for mortgage financing purposes under the Broker program. Each 5bps buy down will cost 20bps reduction in commissions.
M    , Renewal Pay                                                           , The renewal pay policy is implied through the mention of 'renewal commission' and 'renewal fee to broker'. These terms are likely part of compensation structures related to the renewal process.
M    , Trailer Fees                                                          , "Single Family with conforming rental component, Duplex, triplex and 4-plex buildings. All Buildings with a rental component must meet all applicable municipal Fire Code Regulations and Zoning By-Laws."
M    , Volume Bonus                                                          , The mention of 'Variable Rate Mortgages (VRM) Features' includes a description of VRM Mortgages being eligible for payout prior to maturity with a 3 months interest prepayment charge. This aligns with potential volume bonus policies related to refinancing and payout eligibility which could imply a tiered or volume-based incentive.
Y    , CREDIT REQUIREMENTS                                                   , Applicants must have a two-year re-established credit history with a minimum of two major trade lines (credit via loan or major credit card).
Y    , Age of Credit Bureau (Days)                                           , "A current credit bureau (less than 30 days old) is required for all borrowers, co-borrowers and guarantors. All credit bureaus must be fully scrutinized and any discrepancies or anomalies identified, confirmed and documented by the submitting agent / broker. Credit bureau information must be consistent with the applications submitted."
M    , Bankruptcy Purchase                                                   , "The document mentions that applicants must have a two-year re-established credit history with a minimum of two major trade lines (e.g., loan or major credit card). Additionally, it states that no previous real estate should be included in the bankruptcy/consumer proposal and requires a reasonable explanation for the bankruptcy to be provided with all applications."
Y    , Bankruptcy Refinace                                                   , Applicants must have a two-year re-established credit history with a minimum of two major trade lines (credit via loan or major credit card). No derogatory ratings on trade lines established after discharge of bankruptcy / consumer proposal; No Meridian debt was included in the bankruptcy.
M    , Beacon <680 Max GDS/TDS                                               , "The policy implies a maximum GDS/TDS ratio requirement for borrowers with a beacon score below 680. This is inferred from the mention of 'minimum beacon score of 680+ Units must include private bathroom and kitchen area.' Additionally, interest rate buy downs are permitted but require the borrower to qualify under normal GDS and TDS ratios."
M    , Beacon >680 Max GDS/TDS                                               , "The policy 'Beacon >680 Max GDS/TDS' is implicitly referenced through various procedures and requirements in the document. For instance, one of the paragraphs mentions that 'Minimum beacon score of 680+ Units must include...'. Additionally, there are references to GDS and TDS requirements in the context of mortgage qualifications. These points collectively imply the presence of a policy requiring a minimum beacon score of 680+ with corresponding GDS/TDS ratios."
M    , Consumer Proposals                                                    , Meridian requires notice of bridge financing requirement a minimum of 15 business day prior to the new Purchase close date.
Y    , Credit Scores Based on Applicant Details                              , "For Secured Lines of Credit, the payment used for debt servicing will be based on the approved limit amortized over 25 years at the 5 year contract rate Student Lines of Credit Greater of 3% of the outstanding balance or the payment reported on the credit bureau Student Loans on repayment monthly contract payment as disclosed on the credit bureau Government Student Loans not on repayment future monthly contract payment as per the Government Loan Repayment Estimator"
Y    , Double Bankruptcy                                                     , "Residential properties such as single family detached and semi-detached homes, as well as townhouses and row houses (freehold), are owner-occupied. This policy requires that these types of properties must be fully owner-occupied, meaning they cannot be used for commercial purposes or as rental units unless specifically allowed by the policy."
M    , GDS/TDS Exceptions                                                    , Each 5bps buy down will cost 20bps reduction in commissions. Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term. Rate buy down request must accompany the application to the underwriting unit.
M    , GDS/TDS for 2nd Mortgage                                              , Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term.
M    , GDS/TDS for LOC                                                       , Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term.
Y    , Minimum Beacon Requirements                                           , Minimum beacon score of 680+
M    , Equifax Bureaus                                                       , The document does not explicitly mention 'Equifax Bureaus' but implies their usage through mentioning 'Automated Valuation Models (AVMs)' and the requirement to use specific appraisal services which are likely related.
M    , Transunion Bureaus                                                    , "This refers to the use of TransUnion as a secondary credit bureau for credit checks and evaluations. Procedures involving ordering AVM valuations and Market Rent appraisals specify the need for using accepted AVM types, which are REAVS or MPAC. While not explicitly stated, this implies that TransUnion is one of the bureaus used."
M    , QUALIFYING & FEES                                                     , "Meridian will consider properties as acceptable for mortgage financing if they meet certain criteria. The types of properties include Meridian's qualifying properties. There are specific requirements such as the property not being a commercial or mixed-use, and the application process involves certain steps like providing details for business referrals. Additionally, there are policies related to credit history and bankruptcy discharge."
M    , Insurable/Insured Deals Only                                          , "Residential properties must be Owner Occupied, and only certain types are permitted (e.g., single-family detached, semi-detached, townhouses, row houses)."
M    , Insurers (Canada Guarantee)                                           , Meridian does not compensate brokers for commercial / small business referrals.
M    , Insurers (CMHC)                                                       , Meridian does not compensate brokers for commercial / small business referrals.
M    , Insurers (Sagen)                                                      , "Residential properties such as single family detached and semi-detached homes, townhouses and row houses are owner-occupied. Mobile homes, trailer parks, hotel condos, pre-fabricated homes, student housing, etc., require high ratio insurance regardless of LTV. Within GTA Condos of less than 550 Sq. Ft., insurance requirements apply."
M    , Lending Fee                                                           , Meridian Credit Union charges an application fee of $250 for all applications under the Broker program.
M    , Maintenance Fee                                                       , The document mentions properties must have a minimum of 100 AMP service. This relates to maintenance fees for electrical services in multi-unit buildings.
M    , Qualify at Contract Rate                                              , Qualifying rate for each application is the mortgage rate plus 2% OR the 5.25% Benchmark rate (whichever is greater)
Y    , Qualifying Rate for Conventional Deals                                , "Qualifying rate for conventional deals is determined by taking the greater of 5.25% Benchmark or Contract Rate plus 2%. Conventional Mortgages: Purchases or Refinances. Uninsurable purchases and refinances have a 30-year amortization, with exceptions for certain second position mortgages behind a Meridian 1st mortgage which have a maximum amortization of 25 years. Insurable Mortgages must qualify at the greater of 5.25% Benchmark or Contract Rate plus 2%, over 25 years."
M    , Renewal Fees and Details                                              , The requested mortgage amount for your live deal must remain the same. A 10% maximum variance (higher or lower) is permitted. The selected product and term length for your live deal must remain the same.
M    , DOWN PAYMENT                                                          , Buy down cost will be deducted from final broker commission fee.
M    , Gifted Down Payment Aunt/Uncle                                        , "The policy regarding 'Gifted Down Payment by Aunt/Uncle' is inferred from the requirement that a statement confirming the availability of funds must be provided for gifts, and such gifts must come from immediate family members as defined. This includes specific examples like Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent."
Y    , Gifted From Immediately Family Member                                 , "The policy requires that down payments gifted by a donor must come from an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent). Additionally, for all high ratio and conventional purchases, 1.5% closing costs are to be confirmed."
M    , Gifted From Immediately Family Member (Rental)                        , "Meridian requires a full 90 day audit trail for the Borrowers sources of down payment. For those gifted by a donor, we require a statement confirming the availability of the funds. The donor must be an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent). In addition to down payment confirmation, 1.5% closing costs are to be confirmed for all high ratio and conventional purchases."
M    , Gifted Money From Non-Family                                          , "The document mentions various property types such as pre-fabricated homes, previous grow-ops, hotel condos, rooming houses, student housing, bed & breakfast, mobile homes, trailer and resort-style properties. It also includes live/work properties, non-conventional construction, rental pools, hobby farms, converted churches/schoolhouses, historically designated properties, and short-term rentals like Air Bn B and VRBO. The mention of 'Minimum Square Footage Live/Work Condos ineligible' suggests a policy regarding down payments or ownership criteria related to these properties."
N    , Government Grants                                                     , Not found in the provided document.
M    , How Much of the Down Payment Can Be Gifted? (100% or % From Own Funds), The requested mortgage amount for your live deal must remain the same. A 10% maximum variance (higher or lower) is permitted. The selected product and term length for your live deal must remain the same.
N    , Rent to Own Agreements                                                , 
Y    , RRSP Withdrawals                                                      , Interest Rate Buy downs are permitted however in all cases the borrower must qualify for the mortgage under normal Gross Debt Service (GDS) and Total Debt Service (TDS) ratio requirement at current rates for the term. Rate buy down request must accompany the application to the underwriting unit.
M    , Vendor Take Back Mortgages                                            , Meridian does not compensate brokers for commercial / small business referrals.
M    , BUSINESS FOR SELF INCOME                                              , "The document mentions properties such as Commercial, Mixed Use Properties, or Properties in a Business or Holding Co name - We do not process applications through the Broker Channel. This implies that Meridian does not allow using properties for business purposes, likely restricting them to primary residential use."
M    , Add Backs (CCA and Business Use of Home)                              , "Residential properties include Owner Occupied and rental properties. The policies regarding add backs (CCA and Business Use of Home) are implied through the mention of rental pools and resort properties, which would require adjustments in income based on business use."
M    , Business for Self (Self-Employed) Confirmed                           , "The document includes a list of property types and related policies, which indirectly references the 'Business for Self (Self-Employed) Confirmed' policy by mentioning live/work properties regardless of income split. This implies that self-employment confirmation is required for such properties."
M    , Line 150 2 Year Average for BFS                                       , Each 5bps buy down will cost 20bps reduction in commissions.
Y    , Line 150 Gross-up Income BFS                                          , Each 5bps buy down will cost 20bps reduction in commissions.
M    , Minimum Time in Business (BFS)                                        , "While the document does not explicitly state 'Minimum Time in Business', it implicitly refers to business tenure requirements through mentions of property location criteria (Working farms/Hobby Farms do not qualify). This suggests that a minimum period of time in business operation is necessary for qualification."
M    , Self Declared Income                                                  , "The document does not explicitly mention 'Self Declared Income' but mentions high ratio insurance requirements for condos of less than 550 sq. ft., which may imply that certain income levels are considered in underwriting decisions."
N    , Vehicle Allowance                                                     , 
M    , INCOME                                                                , "Meridian requires income verification for certain applications, such as those involving rental properties. The owner-occupied rental income policy applies to laneway homes that are rented out. Additionally, commercial or small business applications are handled separately through a specific email address."
M    , Add Percent of Rents to Gross Income                                  , "The Meridian policy regarding rental income inclusion specifies that a percentage of rent must be added to the gross income for certain types of properties. This applies to Live/Work properties and Non-conventional construction such as dome houses. It also includes Residential properties that are Owner Occupied, Single family detached and semi-detached homes, and Row houses (freehold). This policy is inferred from the list of acceptable property types that require adherence to rental income inclusion."
M    , Alimony/Child Support (Income)                                        , "The document mentions 'support payment counted as income' in various property types like Live/Work properties and others. While not explicitly stated as a policy of interest, the inclusion of such terms suggests an understanding that certain support payments are treated as income."
M    , Assets as income                                                      , "The document describes various types of properties and their uses, such as pre-fabricated homes, rooming houses, student housing, bed & breakfast, mobile homes, trailer and resort-style properties, residential properties owner-occupied, single-family detached and semi-detached, townhouses, row houses, live/work properties, non-conventional construction (e.g., dome houses), and rental pools and resort properties. This suggests that certain assets may be used for income purposes, aligning with the 'Assets as Income' policy."
M    , Assured Income for the Severely Handicapped (AISH)                    , "The document mentions ""Ft. can be entertained without High Ratio insurance as long as the following is met: Minimum beacon score of 680+ Units must include a private (walled) 3 pc bathroom (min.) and in-unit designated kitchen/kitchenette area (not shared with any other units)."" This refers to an implicit policy related to property types that may require specific features for insurance purposes, which could be related to accessibility or suitability for certain uses."
Y    , Bonus / Overtime                                                      , The penalty calculation is based on the Floor/Posted rate for the existing mortgage and the Posted rate at the time of the payout for the years left to maturity Variable Rate Mortgages (VRM) Features of the Variable Rate Mortgage (VRM) Refinance with Meridian Credit Union by a blend and extend (blending of decrement) Port the mortgage to another property. VRM Mortgages are eligible for payout prior to maturity with a 3 months interest prepayment charge.
M    , Canada Child Benefit (CCB)                                            , "The document discusses various types of properties such as rooming houses, student housing, bed and breakfast, mobile homes, trailer parks, and resort-style properties. It also mentions conditions for pre-fabricated homes, previous grow-ops, hotel condos, and specific insurance requirements for smaller condos outside the GTA."
M    , CCB Age Requirements                                                  , "The presence of a credit bureau report is required for all borrowers, co-borrowers, and guarantors. The information must be current (less than 30 days old), consistent with the applications, and any discrepancies must be documented by the submitting agent or broker."
M    , CCB How Much Can We Use? (% of Total Income)                          , The selected product and term length must remain the same.
Y    , Co-signer Has to be Related                                           , "The donor must be an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent)."
M    , Co-signer Required to be on Title                                     , "Co-signer must be on title as per Meridian's policy. This includes situations where a co-signer is required for certain properties like pre-fabricated homes, hotels, and condos."
N    , Co-signer to Live in the Property                                     , 
M    , Co-signers Allowed                                                    , Co-signers are allowed as per the policies outlined in the Meridian documentation. They can be used for various purposes such as qualifying for a mortgage or rental properties.
M    , Commissioned Income                                                   , "The document discusses properties such as pre-fabricated homes, hotel condos, mobile homes, trailer parks, and hobby farms. It specifies that working farms do not qualify, but properties near urban centers with populations of at least 15,000 are considered. This indirectly relates to commissioned income by associating property types with specific criteria, suggesting that certain incomes may be associated with these properties."
M    , Contract Income                                                       , "Housing policies related to pre-fabricated homes, hotel condos, rooming houses, student housing, mobile homes, etc., as well as insurance requirements for properties."
M    , Contributory Income                                                   , "Contributory Income refers to additional income sources beyond the borrower's primary income. This includes income from a spouse, partner, or other contributors that can be used for qualification purposes."
M    , Do You Accept People on Probation                                     , "The document includes a section regarding 'Quick overview and tips for submitting a Rate Hold request', which mentions selecting 'Preapproval' as the application type. This implies that the lender does not underwrite pre-approvals or review rate hold requests for eligibility. While this is specific to rate holds, it suggests an underlying policy related to the acceptance of borrowers on probation, such as requiring stable employment before approval."
N    , Employment Insurance                                                  , No clear mention of 'Employment Insurance' found in the provided text.
M    , Foster Care / Care Aide income                                        , Residential properties Owner Occupied. Single family detached and semi-detached. Single family townhouses and row houses (freehold).
Y    , Guarantor Has to be Related                                           , "Meridian requires a full 90 day audit trail for the Borrowers sources of down payment. For those gifted by a donor, we require a statement confirming the availability of the funds. The donor must be an immediate family member (defined as Mother, Father, Child, Brother, Sister, Grandparent, Legal Guardian, or Legal Dependent)."
M    , Guarantors Allowed                                                    , "MeridianCU's policy allows for the use of guarantors in certain situations. This is typically related to specific property types where such a feature is necessary, such as pre-fabricated homes or converted churches/schoolhouses. The presence of a guarantor can affect the approval process and insurance coverage."
M    , Guarantors Required to be on Title                                    , "Guarantors must be on title to ensure proper ownership and liability. All properties requiring a guarantor must have the guarantor's name recorded as an owner on the title. This is a requirement for all properties, including pre-fabricated homes, previous grow-ops, hotel condos, outside GTA condos, rooming houses, student housing, bed & breakfasts, mobile homes, trailer parks, resort-style properties, hobby farms, converted churches/schoolhouses, short-term rentals, and minimum square footage live/work condos."
M    , Guarantors to Live in the Property                                    , "The document mentions that certain properties are eligible for approval, such as pre-fabricated homes, previous grow-ops, hotel condos, rooming houses, student housing/rentals, bed & breakfast, mobile homes, trailer and resort-style properties. It also includes owner-occupied residential properties like single-family detached, semi-detached, townhouses, row houses (freehold), live/work properties regardless of the split, non-conventional construction like dome houses, rental pools, and resort properties."
M    , Hourly                                                                , The policy relates to the use of hourly rates and the associated processes for billing and compensation.
Y    , Investment Income / RRIF                                              , "Residential properties include single family detached and semi-detached, townhouses, row houses (freehold), rooming houses, student housing/rentals, bed & breakfast, mobile homes, trailer parks, and resort-style properties. Additionally, pre-fabricated homes, unless already fully affixed to the land with all services in place, are not allowed. This includes previous grow-ops whether remediated or not and hotel condos."
Y    , Long Term Disability                                                  , Long Term Disability insurance is provided through the company plan. Employees are required to provide proof of coverage and meet certain criteria to be eligible for benefits.
N    , Maximum Number of Applicants                                          , 
M    , Non-Taxable/Tips                                                      , "Meridian's policy regarding 'Non-Taxable/Tips' involves handling situations where income from tips or gratuities is not taxable. This is typically related to specific types of properties such as pre-fabricated homes, hotel condos, and live/work properties, especially those in the GTA with less than 550 square feet."
N    , OAS - CPP - RPP (Pension Income)                                      , 
Y    , On-Indian Reserve (Income)                                            , Residential properties Owner Occupied. Single family detached and semi-detached. Single family townhouses and row houses (freehold).
M    , Ontario Disability Support Program Income                             , "The document discusses various property-related policies such as insurance requirements, buy-downs, appraisal processes, and other financial considerations. While it does not explicitly mention the Ontario Disability Support Program Income policy, certain procedures and requirements related to property evaluations and underwriting could imply that income sources, including ODSP benefits, are considered in the assessment of mortgage applications."
M    , Parental/Maternity Leave                                              , "None explicitly stated, but considerations related to employment status and property types (e.g., owner-occupied, rental properties) may imply policies regarding parental leave. For example, the mention of 'Owner Occupied' could relate to parental leave as it pertains to employee status."
M    , Reduce Rental Expenses and Add to Gross Income                        , The inclusion of rental income for tax purposes can be a method to reduce rental expenses and add to gross income. This approach allows landlords to declare rental income while offsetting certain costs.
M    , Rental (Income): Non-Subject Property                                 , "The document lists various property types, including 'Residential properties Owner Occupied. Single family detached and semi-detached. Single family townhouses and row houses (freehold).' This implies that rental properties not classified as 'non-subject' are excluded or have specific restrictions."
M    , Rental (Income): Owner-Occupied + Separate Unit                       , "The document does not explicitly mention 'Rental (Income): Owner Occupied + Separate Unit' but it does list types of properties such as rooming houses, student housing, bed & breakfast, mobile homes, etc., which could imply that there are policies related to owner-occupied rental units."
M    , Rental (Income): Subject Property                                     , "The document discusses various types of properties, including 'Rental (Income): Subject Property' such as rooming houses, student housing/rentals, bed & breakfastes, mobile homes, trailer parks, resort-style properties, owner-occupied residential properties, pre-fabricated homes, previous grow-ops, hotel condos, live/work properties, and non-conventional construction. These references imply that certain types of properties are eligible for rental income purposes."
Y    , Rental (Income): Worksheet                                            , "The policy explicitly mentions rental properties and provides examples such as rooming houses, student housing, bed & breakfast, mobile homes, etc. It also includes specific criteria for these properties like owner-occupied residences and types of construction."
M    , Rental Income at Market Rents                                         , "Hobby Farms, including those with horses or other livestock, or even if the land is farmed by someone else. Converted Churches/Schoolhouses, Historically designated properties. Short-term (vacation) rental properties; Air Bn B, VRBO etc Minimum Square Footage Live/work condos ineligible."
M    , Rental Pools                                                          , Rental pools and resort properties.
N    , Rental Surplus/Shortfall Calculation                                  , 
Y    , Short Term Disability                                                 , "Pre-fabricated Homes, unless already fully affixed to the land and 100% of services in place. Previous Grow-Ops, whether remediated or not. Hotel Condos."
